id|developer_id|project_id|applied_at|bid_usd
1|48|14|2025-01-19|11365
2|6|28|2024-12-04|2666
3|77|1|2025-01-15|6952
4|10|23|2024-11-22|1699
5|17|14|2025-02-20|5405
6|71|14|2024-11-19|2831
7|76|14|2025-04-14|5382
8|82|12|2025-01-04|1885
9|32|15|2024-12-26|10867
10|48|21|2025-04-14|9170
11|8|13|2025-02-02|7194
12|2|14|2025-01-31|5753
13|57|7|2025-02-09|6588
14|38|16|2025-04-16|1991
15|24|26|2025-03-20|2279
16|36|4|2025-03-18|9645
17|78|23|2025-03-27|3021
18|90|15|2025-01-31|7033
19|24|25|2025-04-01|7409
20|56|6|2025-05-06|4562
21|59|11|2025-04-25|9074
22|19|12|2024-11-24|8076
23|81|21|2025-03-10|1917
24|62|25|2025-02-15|3836
25|38|1|2025-01-24|11952
26|58|20|2025-04-27|8069
27|1|7|2025-03-07|5391
28|15|25|2024-12-11|10804
29|39|18|2025-03-06|10480
30|20|14|2025-04-03|8223
31|12|22|2025-01-10|8653
32|98|8|2025-01-19|9408
33|98|13|2025-04-25|5088
34|81|1|2024-11-21|2479
35|35|29|2025-02-02|11452
36|6|1|2025-02-16|4703
37|51|17|2025-05-14|10029
38|91|13|2025-02-26|7784
39|14|24|2024-12-13|4638
40|46|10|2024-11-25|11519
41|26|20|2024-12-02|1896
42|5|3|2025-03-06|4800
43|40|18|2025-05-03|6068
44|16|17|2025-01-23|4580
45|98|6|2025-01-26|1615
46|54|28|2024-11-17|5246
47|37|17|2024-11-30|2702
48|74|17|2024-12-24|10775
49|27|18|2025-04-05|2225
50|53|21|2024-12-08|9405
51|52|24|2025-03-27|5064
52|38|15|2025-03-01|6591
53|73|21|2025-02-16|2757
54|21|4|2024-11-25|11920
55|16|13|2025-01-17|7073
56|76|15|2025-05-16|2786
57|72|22|2025-04-29|5398
58|46|21|2025-04-30|8244
59|96|14|2024-11-21|4071
60|62|16|2025-01-17|11881
61|65|11|2025-02-01|8572
62|84|2|2025-05-11|7774
63|39|5|2024-12-11|8618
64|7|29|2025-04-14|10676
65|28|1|2025-03-20|6322
66|61|13|2025-01-09|665
67|68|3|2025-02-03|11754
68|11|22|2025-03-27|11461
69|51|1|2024-12-14|6419
70|6|4|2025-03-12|10672
71|1|9|2024-12-15|10991
72|90|10|2025-02-03|4214
73|19|25|2025-05-04|9885
74|37|7|2025-01-15|2227
75|56|15|2025-02-24|5909
76|50|6|2024-11-28|5918
77|54|21|2024-12-18|11763
78|56|5|2024-12-11|7828
79|91|5|2025-05-09|9087
80|41|5|2024-12-13|3922
81|24|15|2025-05-12|6220
82|50|14|2025-02-18|8560
83|50|24|2025-04-02|4107
84|26|15|2025-03-21|3846
85|76|23|2025-04-05|1315
86|50|2|2025-04-14|4334
87|82|3|2025-04-06|3559
88|47|2|2024-11-26|10954
89|87|6|2025-04-07|4318
90|79|10|2025-04-25|10535
91|12|23|2025-02-25|8890
92|97|10|2024-11-25|6284
93|53|15|2025-04-25|1383
94|81|23|2025-03-04|8956
95|86|21|2025-03-31|9465
96|95|30|2025-04-10|7555
97|75|15|2025-04-01|8531
98|33|23|2025-03-19|8293
99|28|11|2025-01-31|4856
100|6|2|2024-12-21|1361
101|21|12|2025-01-22|563
102|38|21|2025-04-21|616
103|18|3|2025-03-10|7508
104|88|8|2025-04-23|10471
105|51|18|2024-12-03|4120
106|59|7|2024-12-02|6062
107|78|4|2025-03-05|10434
108|11|26|2024-12-20|5726
109|42|18|2025-04-23|7966
110|42|9|2025-01-07|972
111|67|2|2024-12-26|3615
112|48|3|2025-04-21|3933
113|68|12|2025-01-06|3576
114|26|9|2025-01-19|11520
115|94|24|2025-04-02|5436
116|40|17|2025-04-03|6802
117|33|16|2025-01-05|6135
118|92|8|2025-04-17|1229
119|40|30|2025-01-06|9543
120|10|1|2025-02-25|8051
121|64|24|2025-05-17|7679
122|7|30|2025-02-13|7252
123|64|15|2025-05-12|7710
124|16|3|2024-12-17|1834
125|31|4|2025-04-12|3019
126|53|29|2025-05-10|3997
127|57|20|2025-02-12|1763
128|55|18|2025-03-04|6963
129|6|6|2024-12-16|4591
130|63|8|2024-11-24|2598
131|36|30|2025-03-19|6268
132|41|14|2025-03-10|2257
133|72|29|2024-12-21|5177
134|79|18|2025-03-21|3796
135|92|10|2025-02-24|7738
136|66|20|2024-11-23|8070
137|69|21|2025-05-09|4776
138|35|8|2025-04-13|771
139|16|20|2025-01-17|2120
140|23|24|2025-04-24|7293
141|32|7|2024-11-30|5162
142|95|22|2024-12-24|605
143|95|18|2025-03-22|8942
144|55|28|2025-04-19|1315
145|16|13|2025-02-13|11070
146|35|4|2025-03-15|9751
147|46|8|2025-01-02|11557
148|92|23|2025-04-23|9456
149|85|10|2025-02-14|4130
150|95|27|2025-02-26|4434
151|9|17|2024-12-17|5538
152|87|11|2025-04-03|4327
153|48|21|2025-01-20|8368
154|37|19|2025-05-13|3307
155|18|26|2025-03-24|753
156|71|17|2024-12-13|5872
157|47|19|2025-02-17|10900
158|4|26|2025-04-15|2627
159|51|5|2025-03-04|3396
160|66|3|2024-11-28|2721
161|98|7|2025-03-02|8638
162|73|25|2024-12-03|11898
163|28|8|2025-04-25|2664
164|30|25|2025-02-25|6801
165|46|20|2025-01-22|10183
166|17|21|2024-11-17|8666
167|14|20|2025-04-23|926
168|68|20|2025-04-16|6375
169|63|15|2024-12-02|5557
170|2|8|2024-12-07|9601
171|84|6|2025-02-08|11327
172|64|26|2025-03-14|8379
173|70|11|2025-01-24|1790
174|34|5|2025-03-07|10400
175|52|23|2025-02-12|3630
176|41|26|2025-01-21|5279
177|50|2|2025-04-27|3918
178|5|11|2025-01-29|4589
179|44|28|2025-02-24|7728
180|86|24|2025-01-26|11309
181|85|8|2025-04-29|4761
182|45|22|2025-05-03|3159
183|40|1|2025-03-20|6338
184|74|18|2024-12-10|1453
185|94|21|2024-12-13|2977
186|46|1|2025-01-17|8546
187|81|2|2025-05-15|902
188|31|2|2024-11-21|703
189|29|21|2024-12-22|5852
190|9|27|2025-04-08|1522
191|45|22|2024-12-11|7424
192|18|29|2024-11-20|4047
193|58|14|2025-01-21|2827
194|46|10|2025-05-08|3398
195|84|11|2025-03-14|7195
196|49|1|2024-12-24|7205
197|34|18|2024-11-25|9205
198|95|22|2025-02-05|8080
199|98|2|2025-03-22|9752
200|16|14|2024-11-29|6894
